nombre,area_nombre,sector_nombre,subsector,diametro_copa,macizo,nombre_cientifico,familia_nombre,sinonimia,nombre_vulgar,especie_origen,endemica,nativa,region_fitogeografica,habito_crecimiento,ciclo_hoja,ciclo_especie
Científica,Jardin,Francés,C 049,10,FALSO,Tipuana tipu,Leguminosae,,tipa blanca,"Argentina, Uruguay, Brasil",FALSO,VERDADERO,"Selva de las Yungas,",Árbol,Semipersistente,Perenne
Científica,Jardin,Neutro,C 044,10,FALSO,Tipuana tipu,Leguminosae,,tipa blanca,"Argentina, Uruguay, Brasil",FALSO,VERDADERO,"Selva de las Yungas,",Árbol,Semipersistente,Perenne
Científica,Jardin,Francés,C 052,6,FALSO,Tipuana tipu,Leguminosae,,tipa blanca,"Argentina, Uruguay, Brasil",FALSO,VERDADERO,"Selva de las Yungas,",Árbol,Semipersistente,Perenne
Científica,Jardin,Romano,C 042,10,FALSO,Tipuana tipu,Leguminosae,,tipa blanca,"Argentina, Uruguay, Brasil",FALSO,VERDADERO,"Selva de las Yungas,",Árbol,Semipersistente,Perenne
Científica,Jardin,Argentina,C 135,12,FALSO,Tipuana tipu,Leguminosae,,tipa blanca,"Argentina, Uruguay, Brasil",FALSO,VERDADERO,"Selva de las Yungas,",Árbol,Semipersistente,Perenne
Científica,Jardin,Francés,C 052,8,FALSO,Tipuana tipu,Leguminosae,,tipa blanca,"Argentina, Uruguay, Brasil",FALSO,VERDADERO,"Selva de las Yungas,",Árbol,Semipersistente,Perenne
Científica,Jardin,Francés,C 049,12,FALSO,Tipuana tipu,Leguminosae,,tipa blanca,"Argentina, Uruguay, Brasil",FALSO,VERDADERO,"Selva de las Yungas,",Árbol,Semipersistente,Perenne
Científica,Jardin,Romano,C 039,12,FALSO,Tipuana tipu,Leguminosae,,tipa blanca,"Argentina, Uruguay, Brasil",FALSO,VERDADERO,"Selva de las Yungas,",Árbol,Semipersistente,Perenne
Científica,Jardin,Argentina,C 129,10,FALSO,Tipuana tipu,Leguminosae,,tipa blanca,"Argentina, Uruguay, Brasil",FALSO,VERDADERO,"Selva de las Yungas,",Árbol,Semipersistente,Perenne
Científica,Jardin,Neutro,C 046,10,FALSO,Tipuana tipu,Leguminosae,,tipa blanca,"Argentina, Uruguay, Brasil",FALSO,VERDADERO,"Selva de las Yungas,",Árbol,Semipersistente,Perenne
Científica,Jardin,Argentina,C 133,20,FALSO,Tipuana tipu,Leguminosae,,tipa blanca,"Argentina, Uruguay, Brasil",FALSO,VERDADERO,"Selva de las Yungas,",Árbol,Semipersistente,Perenne
Científica,Jardin,Romano,C 039,10,FALSO,Tipuana tipu,Leguminosae,,tipa blanca,"Argentina, Uruguay, Brasil",FALSO,VERDADERO,"Selva de las Yungas,",Árbol,Semipersistente,Perenne
Científica,Jardin,Francés,C 052,10,FALSO,Tipuana tipu,Leguminosae,,tipa blanca,"Argentina, Uruguay, Brasil",FALSO,VERDADERO,"Selva de las Yungas,",Árbol,Semipersistente,Perenne
Científica,Jardin,Sistematico,C 068,1,FALSO,Trachelospermum jasminoides,Apocynaceae,,Jazmín de leche,Asia,FALSO,FALSO,"s/d,",Arbusto,Perennifolia,Perenne
Científica,Jardin,Europa,C 113,0,VERDADERO,Tradescantia fluminensis,Commelinaceae,,Amor de hombre,"Brasil, Argentina",FALSO,VERDADERO,"Delta e Islas del Paraná,Selva Paranaense,Chaco Húmedo,",Herbácea,Perennifolia,Perenne
Científica,Jardin,Sistematico,C 021,0,VERDADERO,Tradescantia fluminensis,Commelinaceae,,Amor de hombre,"Brasil, Argentina",FALSO,VERDADERO,"Delta e Islas del Paraná,Selva Paranaense,Chaco Húmedo,",Herbácea,Perennifolia,Perenne
